"id","insert_time","session_date","start_hour","end_hour","sets","convos","contacts","sticking_points","session_time","approach_time","convo_ratio","rejection_ratio","contact_ratio","index","day_of_week","week_number"
"167","2024-06-03T08:47:50.094193Z","2023-10-24T00:00Z","2023-10-24T08:26Z","2023-10-24T08:26Z","6","2","1","","0","0","0.333","0.667","0.167","0.0","2","43"
"168","2024-06-03T08:47:50.094643Z","2023-10-24T00:00Z","2023-10-24T08:26Z","2023-10-24T08:26Z","9","6","3","","0","0","0.667","0.333","0.333","0.0","2","43"
